data;ticker;fechamento_b3_rs;fechamento_ajustado_rs;volume_rs
2025-05-14;PETR4;31,91;31,9100;895810336,00
2025-05-15;PETR4;31,87;31,8700;1033856560,00
2025-05-16;PETR4;32,02;32,0200;1534414569,00
2025-05-19;PETR4;31,98;31,9800;964668410,00
2025-05-20;PETR4;32,11;32,1100;1075513101,00
2025-05-21;PETR4;31,75;31,7500;918583869,00
2025-05-22;PETR4;31,33;31,3300;1323799986,00
2025-05-23;PETR4;31,40;31,4000;803500397,00
2025-05-26;PETR4;31,30;31,3000;666390313,00
2025-05-27;PETR4;31,53;31,5300;1082433614,00
2025-05-28;PETR4;31,43;31,4300;962972257,00
2025-05-29;PETR4;31,24;31,2400;649220904,00
2025-05-30;PETR4;30,90;30,9000;1398727758,00
2025-06-02;PETR4;31,08;31,0800;1096389190,00
2025-06-03;PETR4;30,18;30,1800;1787892164,00
2025-06-04;PETR4;29,35;29,3500;1245376404,00
2025-06-05;PETR4;29,36;29,3600;698598139,00
2025-06-06;PETR4;29,63;29,6300;832056443,00
2025-06-09;PETR4;29,17;29,1700;1279033247,00
2025-06-10;PETR4;30,05;30,0500;1386969122,00
2025-06-11;PETR4;31,05;31,0500;1613699763,00
2025-06-12;PETR4;31,75;31,7500;1631969195,00
2025-06-13;PETR4;32,53;32,5300;2439157825,00
2025-06-16;PETR4;32,21;32,2100;1489432251,00
2025-06-17;PETR4;32,94;32,9400;1895024916,00
2025-06-18;PETR4;32,91;32,9100;1619377584,00
2025-06-20;PETR4;32,82;32,8200;2794821796,00
2025-06-23;PETR4;32,00;32,0000;1771391913,00
2025-06-24;PETR4;31,37;31,3700;1530594565,00
2025-06-25;PETR4;31,21;31,2100;725321891,00
2025-06-26;PETR4;31,46;31,4600;542325428,00
2025-06-27;PETR4;31,21;31,2100;514636680,00
2025-06-30;PETR4;31,38;31,3800;722711891,00
2025-07-01;PETR4;31,49;31,4900;534915035,00
2025-07-02;PETR4;32,05;32,0500;903155700,00
2025-07-03;PETR4;32,16;32,1600;461444201,00
2025-07-04;PETR4;32,12;32,1200;300704041,00
2025-07-07;PETR4;32,06;32,0600;575255831,00
2025-07-08;PETR4;32,52;32,5200;934448453,00
2025-07-09;PETR4;32,32;32,3200;720896524,00
2025-07-10;PETR4;32,24;32,2400;742267469,00
2025-07-11;PETR4;32,63;32,6300;779764042,00
2025-07-14;PETR4;32,20;32,2000;779056632,00
2025-07-15;PETR4;31,95;31,9500;598546485,00
2025-07-16;PETR4;31,79;31,7900;874394776,00
2025-07-17;PETR4;31,47;31,4700;867138125,00
2025-07-18;PETR4;30,99;30,9900;1783753230,00
2025-07-21;PETR4;31,05;31,0500;510424755,00
2025-07-22;PETR4;31,35;31,3500;769846734,00
2025-07-23;PETR4;31,99;31,9900;872554701,00
2025-07-24;PETR4;31,94;31,9400;568750377,00
2025-07-25;PETR4;31,98;31,9800;427163690,00
2025-07-28;PETR4;32,02;32,0200;898931272,00
2025-07-29;PETR4;32,44;32,4400;1077498790,00
2025-07-30;PETR4;32,77;32,7700;882583471,00
2025-07-31;PETR4;32,64;32,6400;767416727,00
2025-08-01;PETR4;32,21;32,2100;780228311,00
2025-08-04;PETR4;32,16;32,1600;488459358,00
2025-08-05;PETR4;32,31;32,3100;665077653,00
2025-08-06;PETR4;32,35;32,3500;1070651818,00
2025-08-07;PETR4;32,53;32,5300;689386037,00
2025-08-08;PETR4;30,53;30,5300;3332535688,00
2025-08-11;PETR4;30,72;30,7200;862811827,00
2025-08-12;PETR4;30,80;30,8000;1174206493,00
2025-08-13;PETR4;30,57;30,5700;1172508122,00
2025-08-14;PETR4;30,18;30,1800;1304208447,00
2025-08-15;PETR4;30,17;30,1700;1657945791,00
2025-08-18;PETR4;30,36;30,3600;956057541,00
2025-08-19;PETR4;30,04;30,0400;1179248760,00
2025-08-20;PETR4;30,22;30,2200;716748827,00
2025-08-21;PETR4;30,29;30,2900;704887182,00
2025-08-22;PETR4;30,47;30,4700;1506520900,00
2025-08-25;PETR4;30,65;30,6500;645703828,00
2025-08-26;PETR4;30,43;30,4300;662542764,00
2025-08-27;PETR4;30,66;30,6600;499098109,00
2025-08-28;PETR4;30,93;30,9300;798668604,00
2025-08-29;PETR4;31,10;31,1000;863686201,00
2025-09-01;PETR4;31,17;31,1700;308362832,00
2025-09-02;PETR4;31,33;31,3300;619624524,00
2025-09-03;PETR4;31,06;31,0600;925545002,00
2025-09-04;PETR4;31,06;31,0600;772865001,00
2025-09-05;PETR4;30,59;30,5900;1409110207,00
2025-09-08;PETR4;30,71;30,7100;557824302,00
2025-09-09;PETR4;30,95;30,9500;970457146,00
2025-09-10;PETR4;31,51;31,5100;1126908424,00
2025-09-11;PETR4;31,39;31,3900;552550691,00
2025-09-12;PETR4;31,18;31,1800;606499131,00
2025-09-15;PETR4;31,45;31,4500;689359872,00
2025-09-16;PETR4;31,53;31,5300;604222627,00
2025-09-17;PETR4;31,72;31,7200;922990628,00
2025-09-18;PETR4;31,41;31,4100;808185239,00
2025-09-19;PETR4;31,06;31,0600;1518924127,00
2025-09-22;PETR4;31,37;31,3700;687772494,00
